"LogEarning","College","IQ"
12.0009819784915,0,82
9.16397844639685,0,79
10.4080603253951,0,93
13.0440062256512,0,87
10.0594775201129,1,103
12.6860415069368,0,77
6.89554100685112,0,88
8.48895006415883,0,96
8.63802825396941,0,89
5.60236716231692,1,109
10.1833853452442,1,106
8.30996255986284,1,103
11.5290332964391,1,111
13.7757788023552,1,115
13.7012474341258,1,124
10.9313168066058,0,95
4.85213067075525,0,89
12.2282733297919,1,116
13.2557226791106,1,104
15.7392378515827,1,116
13.361360556196,0,98
6.71233844775387,0,94
9.04695180687186,1,107
12.2006098407958,1,111
14.7017184032958,0,89
5.63206857408845,1,107
11.0637895069138,0,86
15.7163288524684,1,132
6.93230171310097,0,95
6.33128038378385,0,94
9.38806244828316,1,112
10.1220047511477,1,102
6.70999879839756,0,95
7.91306681306195,0,92
17.2735797305051,1,127
14.1983472915158,1,133
10.5206440835954,0,63
10.8788002816045,1,114
10.7029081316764,0,85
14.572080467792,1,112
11.8790651601793,1,105
11.6203143937746,1,124
8.29442533694388,0,98
6.81406517065939,0,89
6.63892887595775,1,109
12.1672346416509,0,95
11.3248870142587,1,115
8.03157909302906,1,111
13.6284475596917,1,132
15.3510628860785,0,91
13.8157797885151,1,112
3.96988450453727,0,67
2.2359163717496,0,100
13.3155182614102,1,107
6.76026338018033,0,98
10.7498727307008,0,89
8.22255671055473,0,95
11.8178649703652,0,90
12.7161230419373,1,124
10.5370242524745,1,113
11.1165320737119,1,136
16.1275083323185,1,102
14.1584755202607,0,88
6.53993615586948,0,69
13.4630916965756,1,112
10.2817750102637,1,106
10.7404946579798,1,104
8.53337215686175,0,89
9.21139924028695,1,107
11.848740454309,0,97
9.58750801548157,1,109
15.758855750176,1,133
7.58075864544904,1,112
8.74618783074406,0,76
13.518263722243,1,123
10.7454425831371,0,77
12.6868169262129,1,112
9.45970452670563,1,108
10.1217700301941,0,81
9.56705108355075,0,81
12.8168752624308,1,117
9.42745155244598,0,98
11.2728181777747,0,95
12.3672938889319,1,99
13.9672613192967,1,115
3.38816394869313,0,70
15.4777251707043,1,136
10.0104521052317,0,94
12.6840983647168,0,77
14.3050177594575,1,132
12.1326459465675,1,105
10.3081077476048,1,105
14.84460151147,1,110
12.4414053943442,1,129
12.8338833233996,0,102
8.21213730247888,0,92
8.09553391993825,0,83
15.1596949492883,0,78
9.24275225226488,0,98
10.1493158588192,0,76
13.2717961801211,1,123
6.2798810620604,1,100
8.45590426605883,1,118
4.25279487923748,0,76
14.4404793770327,1,114
10.1866706941252,1,123
7.72039716143766,1,110
11.2244096743747,0,73
9.04028266964552,0,99
11.4816753051775,1,108
13.6180303080059,1,110
7.24988574685201,1,109
8.67199353413484,0,78
9.18396275785517,1,111
6.46112550443349,0,87
7.46338642159851,0,91
12.7689725741344,1,114
10.4924233062932,0,80
12.8325891303481,0,102
12.8239970474648,1,105
7.18741547958142,0,94
14.2920730816714,1,115
11.7829494862239,0,78
2.67836665246817,0,93
10.6087300466708,0,100
12.06077674406,0,99
13.4549891358063,0,99
14.0199280674435,1,122
